[0.00s -> 19.84s]  Yes, Mr. Beer.
[6384.36s -> 6389.44s]  any case to go through normal legal routes if the post office couldn't help it.
[6389.44s -> 6398.64s]  So no, I absolutely don't accept that I took a decision to not review past criminal cases
[6398.64s -> 6402.28s]  based on a media outcome.
[6402.28s -> 6404.64s]  I didn't take any decision on that.
[6404.64s -> 6406.28s]  I wouldn't have been able to do so.
[6406.28s -> 6409.10s]  And it would have been such an important decision.
[6409.10s -> 6414.84s]  That would have had to have gone to the board.
[6414.84s -> 6422.62s]  Can I just ask, and this may be entirely my fault, so I preface it by that, but I'm not
[6422.62s -> 6432.78s]  clear that as of the 6th of July or 7th of July or this period of time, this discussion
[6432.78s -> 6443.02s]  of how to approach the issue of past cases is taking place in the context of Second Sight
[6443.02s -> 6453.34s]  continuing its investigative work beyond the interim report or in the context of the idea
[6453.34s -> 6457.94s]  of a mediation scheme. Do you understand the distinction I'm trying to draw?
[6457.94s -> 6470.10s]  Well, as I see it in simple terms, Second Sight began by investigating in the context
[6470.10s -> 6471.90s]  of a number of cases.
[6471.90s -> 6473.22s]  Yes.
[6473.22s -> 6480.18s]  And after their interim report, somehow a transition took place so that what I'll call
[6480.18s -> 6482.58s]  a mediation scheme emerged.
[6482.58s -> 6490.74s]  And I'm not sure as of this date, i.e., at or about the time when Second Sight was to
[6490.74s -> 6499.34s]  produce its interim report, whether the discussions of how to deal with past cases was in the
[6499.34s -> 6507.52s]  context simply of Second Sight moving forward with their investigations, or by that stage
[6507.52s -> 6511.02s]  in the post office's mind, that was at an end
[6511.02s -> 6512.98s]  and something new was emerging.
[6512.98s -> 6515.52s]  No, I think that's a helpful question.
[6515.52s -> 6519.44s]  I think there was a process of evolution.
[6519.44s -> 6528.36s]  So, second site had done the work it had done up to the publication
[6528.36s -> 6530.00s]  of the interim report.
[6530.00s -> 6534.40s]  There was still a number of cases that hadn't been looked at,
[6534.40s -> 6537.64s]  which needed to be continued.
[6537.64s -> 6540.78s]  I had been disappointed
[6540.78s -> 6546.58s]  about the way the post office team hadn't worked as well
[6546.58s -> 6549.28s]  or been able to contribute to the work Second Sight had done.
[6549.28s -> 6551.64s]  And I say that I would like us to work collaboratively
[6551.64s -> 6556.14s]  with the JFSA who still had a very serious vested interest
[6556.14s -> 6557.28s]  in that.
[6557.28s -> 6562.40s]  And a proposal was made to form a working party,
[6562.40s -> 6570.70s]  I think, was the word that was used, and that was, I recollect, an attempt to work together
[6570.70s -> 6573.40s]  to go through the remaining cases.
[6573.40s -> 6578.68s]  At some stage, and as we were going through this, because it was an iterative process,
[6578.68s -> 6585.52s]  people were contributing ideas as to how this might play out, I had a conversation with
[6585.52s -> 6588.92s]  Susan, and this I remember very clearly because I can remember where it was.
[6588.92s -> 6596.00s]  I'd arrived home and I was standing on the station and she called me and Susan suggested
[6596.00s -> 6605.48s]  that a way of bringing, the trouble is I now know what didn't happen, but some of these
[6605.48s -> 6612.60s]  cases or these cases to a conclusion would be to introduce mediation.
[6612.60s -> 6619.72s]  What she said was that, and again, this isn't documentation somewhere, is that mediation
[6619.72s -> 6625.68s]  that sometimes what was needed in cases is for people to hear the post office apologize
[6625.68s -> 6630.22s]  and say that it was sorry that it got things wrong, or for the post office to explain to
[6630.22s -> 6636.56s]  a sub-postmaster that perhaps they had done something wrong, and that once the cases had
[6636.56s -> 6645.08s]  been reviewed through this working party process, that might then be a way to reach some finality
[6645.08s -> 6646.08s]  on those cases.
[6646.08s -> 6650.64s]  What was also talked about at the same time was that if this was a good thing to do, which
[6650.64s -> 6660.16s]  clearly it was, the post office then needed an ongoing process, possibly an adjudication
[6660.16s -> 6666.76s]  process and external ombudsman on a permanent basis so that if this type of challenge arose
[6666.76s -> 6673.82s]  again there was an external appeal process, if you like, for supposed masters to go to.
[6673.82s -> 6680.12s]  And the thing that I'm missing, Sir Wynn, in telling you all of that is if Susan knew,
[6680.12s -> 6687.56s]  which of course she did and I wouldn't have known so well, that criminal cases couldn't
[6687.56s -> 6691.50s]  be resolved through mediation.
[6691.50s -> 6693.16s]  And this is simply a question.
[6693.16s -> 6699.90s]  Did she know that there would need to have been a further review, or was her understanding
[6699.90s -> 6705.30s]  at that time, which is a fact that was later described, that any criminal cases going through
[6705.30s -> 6711.00s]  the mediation scheme would be open to all of the investigation work that was done by
[6711.00s -> 6716.16s]  post office and second site on Fujitsu, which may then give them information to take forward
[6716.16s -> 6720.16s]  to through the normal legal routes, through the Court of Appeal or the CCRC.
[6720.16s -> 6728.92s]  Ms. Reynolds, can we look at page two of this document and scroll down?
[6728.92s -> 6735.80s]  This is your thoughts on the proposal as at the 6th of July.
[6735.80s -> 6741.04s]  In direct answer to the Chairman's question, isn't it the case that second site were to
[6741.04s -> 6744.56s]  play no part going forwards?
[6744.56s -> 6748.62s]  There were conversations about whether Second Sight should or shouldn't, because there were
[6748.62s -> 6754.60s]  concerns about the fact that this had run on too long and was way over budget, and there
[6754.60s -> 6764.48s]  were, and this again is in many documents, there were concerns that their work was not
[6764.48s -> 6767.68s]  at this stage sufficiently evidence-based.
[6767.68s -> 6772.48s]  Your proposal didn't involve any role for Second Sight, did it?
[6772.48s -> 6773.84s]  I'm not sure that's true.
[6773.84s -> 6778.08s]  Look at the email on the screen.
[6778.08s -> 6799.44s]  Your written proposal did not contain any role for Second Sight, did it?
[6799.44s -> 6803.86s]  It doesn't at this stage, because we're in this process of evolution, say that Second
[6803.86s -> 6804.86s]  Site was...
[6804.86s -> 6808.90s]  At this process of evolution, it doesn't involve any role for Second Site?
[6808.90s -> 6813.24s]  I'm not sure, because it doesn't say that they would or they wouldn't.
[6813.24s -> 6816.80s]  What it says is that it would explore their themes for improvement.
[6816.80s -> 6823.04s]  And I'm being frank with you that there were conversations about whether Second...
[6823.04s -> 6828.80s]  There was criticism of the work that Second Site had done, but there was equal understanding
[6828.80s -> 6835.80s]  saying that they had the support of MPs, notably James R. Buthnott, and that we had committed
[6835.80s -> 6840.52s]  to do that work, but it's a...
[6840.52s -> 6848.24s]  Back to page one, please. You say, you're right to call this out. I'll take your steer.
[6848.24s -> 6858.76s]  No issue. Do you agree that this email chain reads as if the PR man has influenced you
[6858.76s -> 6866.76s]  you conclusively as to a decision as to whether or not the post office would itself review
[6866.76s -> 6878.72s]  whether and to what extent there had been past miscarriages of justice?
[6878.72s -> 6888.38s]  I wouldn't take that steer on a legal matter from Mark Davis. He clearly, he was talking
[6888.38s -> 6894.70s]  about, and again in the time scales we're talking about, we're talking about publicity
[6894.70s -> 6902.90s]  within the next couple of days as a report coming out, but I wouldn't have taken a decision
[6902.90s -> 6908.06s]  on anything at all to do with legal matters from Mark Davis.
[6908.06s -> 6911.34s]  Okay, let's see what the, I'm so sorry I spoke over you.
[6911.34s -> 6913.02s]  Sorry, it's fine.
[6913.02s -> 6919.58s]  see what the IT person was telling you on what to do about looking at possible miscarriages
[6919.58s -> 6921.42s]  of justice.
[6921.42s -> 6935.58s]  Poll 3099056.
[6935.58s -> 6942.66s]  This is a separate chain remembering that Mark Davies had just replied to you.
[6942.66s -> 6950.82s]  This is Lesley Sewell's reply to your email setting out your proposals, that she does
[6950.82s -> 6954.34s]  include everyone on the chain and doesn't cut people out.
[6954.34s -> 6958.14s]  Paula, just a couple of thoughts.
[6958.14s -> 6965.14s]  If we state we will review the cases in separation, that implies that there are material findings
[6965.14s -> 6972.46s]  in the second site review and leaves us open to challenge against all cases.
[6972.46s -> 6979.22s]  It may be better to offer in the spirit of the review and how we have listened to those
[6979.22s -> 6983.04s]  affected and how we want to change our business.
[6983.04s -> 6985.62s]  This is the delicate line we are balancing.
[6985.62s -> 6992.74s]  And from memory, Susan quoted, more than 500 cases in the last 10 years.
[6992.74s -> 7000.46s]  It may be an option to allow some postmasters to come forward and request the review.
[7000.46s -> 7012.52s]  I agree on the points about the working group and user group, et cetera.
[7012.52s -> 7019.94s]  Did you bring into account in your decision-making the views that the head of IT was giving you
[7019.94s -> 7028.18s]  on the extent to which the post office should itself ask independent lawyers to review past
[7028.18s -> 7037.86s]  convictions. I would have read Leslie Sewell's email sent to me. I wouldn't take any decision
[7037.86s -> 7046.54s]  on legal matters personally without the advice of the General Counsel and on something this
[7046.54s -> 7055.58s]  significant as the Board. We can see that you've had what the PR expert has been telling
[7055.58s -> 7067.56s]  you to do about past convictions and hear the head of IT telling you, I think your position
[7067.56s -> 7076.86s]  is that you did not see Simon Clarke's advices which address looking at past convictions
[7076.86s -> 7083.50s]  until after the Court of Appeal Criminal Division disclosures in late 2020, early 2021.
[7083.50s -> 7084.50s]  Yes.
[7084.50s -> 7085.50s]  Is that right?
[7085.50s -> 7094.38s]  So you didn't know that there were lawyers advising on the very issues that you were
[7094.38s -> 7103.26s]  considering at this time, bringing into account the PR man and the IT lady's views?
[7103.26s -> 7109.22s]  I had no side of the Simon Clarke advisers, no.
[7109.22s -> 7113.38s]  You tell us in your witness statement, that can come down, thank you, it's paragraph
[7113.38s -> 7121.10s]  of 562, no need to turn it up, that you recall that you were told by Susan Crichton that
[7121.10s -> 7128.58s]  due to advice from external lawyers, there was a need for a review to ensure that proper
[7128.58s -> 7133.58s]  disclosure had been given in previous criminal cases.
[7133.58s -> 7136.62s]  Yes.
[7136.62s -> 7145.18s]  You say that you had a conversation with Lesley Soule in which she told you that the post
[7145.18s -> 7151.62s]  office had been advised that the expert witness that the post office had used in criminal
[7151.62s -> 7159.82s]  cases to give evidence about Horizon had failed to mention there were bugs in Horizon, including
[7159.82s -> 7163.14s]  in the Seema Misra case.
[7163.14s -> 7166.14s]  You tell us that in your witness statement.
[7166.14s -> 7170.66s]  Yes, that's right.
[7170.66s -> 7178.70s]  Can we please try to pin down the date on which you had knowledge of a problem with
[7178.70s -> 7197.42s]  the post office's expert evidence?
[7197.42s -> 7200.26s]  It's difficult to find the date exactly.
[7200.26s -> 7209.10s]  I remember that I, so I learned of it first from Leslie Sewell, not from Susan Crichton.
[7209.10s -> 7212.94s]  What had happened is I passed Leslie in the corridor.
[7212.94s -> 7217.22s]  She was looking particularly concerned or grumpy about something, and I asked her what
[7217.22s -> 7218.86s]  was the matter.
[7218.86s -> 7223.82s]  And she said that she had just heard that, so I don't know that she said this, but I'm
[7223.82s -> 7234.40s]  assuming from Susan, that the post office expert from Fujitsu whom we had used in past
[7234.40s -> 7243.04s]  cases now had to be stood down because he had not revealed, and as I said yesterday,
[7243.04s -> 7251.16s]  I think one or two bugs that he knew about in a case, and that's right, I think it was
[7251.16s -> 7257.56s]  Mrs. Miserers, and the reason that Leslie explained he hadn't revealed those bugs in
[7257.56s -> 7265.82s]  that case is that they hadn't been, Mrs. Miserers was a Horizon Online case, and these, oh, sorry,
[7265.82s -> 7270.20s]  the other way around, Mrs. Miserers' case was on Legacy Horizon, and these bugs hadn't
[7270.20s -> 7272.64s]  come into effect until Horizon Online.
[7272.64s -> 7281.22s]  Ms Meadows, the way you described it there is that Ms Sewell was telling you that the
[7281.22s -> 7287.26s]  expert had failed to mention bugs in one case, and that was Seema Misra.
[7287.26s -> 7288.26s]  I think so.
[7288.26s -> 7294.52s]  In your witness statement, you say that she told you that he had failed to give disclosure
[7294.52s -> 7299.82s]  in criminal cases, including Seema Misra.
[7299.82s -> 7300.82s]  Right.
[7300.82s -> 7301.82s]  That's probably right then.
[7301.82s -> 7302.82s]  I don't think, yes.
[7302.82s -> 7307.66s]  Again, can you help us as to the time of this, please?
[7307.66s -> 7316.66s]  Well, I then spoke to Susan, I think, within a day or so of that conversation.
[7316.66s -> 7323.30s]  Susan explained more about it, so if you can date when Susan found out, it would have been
[7323.30s -> 7328.20s]  just before that, because Leslie could only have found out from Susan.
[7328.20s -> 7337.36s]  By this time, and I'll call it mid-2013, you had been engaged on the issues of Horizon
[7337.36s -> 7340.36s]  Integrity for some time, hadn't you?
[7340.36s -> 7341.80s]  From when, yes, yes.
[7341.80s -> 7347.50s]  You knew that there had been prosecutions and that those prosecutions had been founded
[7347.50s -> 7351.16s]  on evidence from Horizon.
[7351.16s -> 7354.68s]  Yes.
[7354.68s -> 7364.88s]  been told by Lesley Sewell and then Susan Crichton that there was an issue with the
[7364.88s -> 7371.86s]  post office's expert evidence that had been relied on to convict sub-postmasters, including
[7371.86s -> 7375.02s]  Mrs Misra. Were you concerned?
[7375.02s -> 7382.28s]  Yes, and I think Susan had, and I think the documentation says this, Susan had told, at
[7382.28s -> 7390.36s]  At the time I spoke to Susan about it, she said I think that she had already put in chain
[7390.36s -> 7395.36s]  a review by the external lawyers.
[7395.36s -> 7400.08s]  And I think the documentation shows that she had done that before the written advice from
[7400.08s -> 7404.28s]  Simon Clarke came in on the 15th.
[7404.28s -> 7411.72s]  Did you at the time join the dots between the debates that we've seen you have in emails
[7411.72s -> 7419.34s]  here with Mr Davis and Ms Sewell about the extent to which the post office should announce
[7419.34s -> 7426.60s]  that it was going to review past convictions and the information that you were being given
[7426.60s -> 7433.74s]  quite separately that the post office's expert witness had failed to mention bugs of which
[7433.74s -> 7436.64s]  he had knowledge in criminal cases?
[7436.64s -> 7440.44s]  No, I didn't make that link.
[7440.44s -> 7450.96s]  not? I think because my, the emails from Mark Davies and Leslie Sewell are part of an iterative
[7450.96s -> 7461.48s]  process as to how we took this important ongoing piece of work forwards. The conversation with
[7461.48s -> 7473.04s]  Susan Crichton about the work that became known as the Cartwright King's Sift Review
[7473.04s -> 7480.48s]  was I think I took as a piece of reassurance that the lawyers were doing what they needed
[7480.48s -> 7487.24s]  to do in terms of what I, and I think this is at the stage where I learned about disclosure,
[7487.24s -> 7489.68s]  of what they needed to do in respect to disclosure.
[7489.68s -> 7493.36s]  What I didn't know at this stage, to be very clear,
[7493.36s -> 7499.36s]  was that by dint of what had happened with Gareth Jenkins,
[7499.36s -> 7502.56s]  the post office had breached its duties as a prosecutor.
[7502.56s -> 7506.56s]  I don't think that was mentioned to me at the time.
[7506.56s -> 7510.24s]  Did you never, at any time, connect
[7510.24s -> 7515.00s]  the long-running criticism of Horizon's integrity
[7515.00s -> 7524.20s]  that has been forced upon the post office by some post masters for years and years with
[7524.20s -> 7529.60s]  being informed that there was a problem with the expert evidence on which the post office
[7529.60s -> 7535.76s]  had relied about bugs?
[7535.76s -> 7540.60s]  I don't think I made that connection because it was very specific.
[7540.60s -> 7546.72s]  information I was told was very specific, which was that these two bugs were related
[7546.72s -> 7551.84s]  to Horizon Online. There were two of them which affected, and by this stage I knew about
[7551.84s -> 7559.64s]  them, which affected 14 and 62 post offices, I think, all of whom had been informed, or
[7559.64s -> 7567.16s]  in the case of the 14 were in the process of being informed. And the bugs had been fixed
[7567.16s -> 7572.56s]  And the postmasters had not lost any money as a result of that.
[7572.56s -> 7575.16s]  So this was Leslie's frustration, which was
[7575.16s -> 7577.56s]  that these were two isolated incidents.
[7577.56s -> 7581.30s]  I accept now that is incorrect.
[7581.30s -> 7584.60s]  But that was what I was told.
[7584.60s -> 7586.52s]  They had been fixed.
[7586.52s -> 7590.74s]  There is even documentation which refers to them as a red herring.
[7590.74s -> 7595.08s]  And the fact that Susan was going through this SIFT review,
[7595.08s -> 7600.68s]  to me seem to be reassuring rather than concerning.
[7600.68s -> 7604.48s]  Did you ask who this witness was?
[7604.48s -> 7608.12s]  I don't believe I knew Mr. Jenkins' name because there is...
[7608.12s -> 7613.16s]  I'm asking, did you ask who was this witness?
[7613.16s -> 7618.20s]  I think I was told that it was a Fujitsu, someone who worked for Fujitsu who was very
[7618.20s -> 7620.62s]  competent on the system.
[7620.62s -> 7624.08s]  Did you ask how many cases he had given evidence in?
[7624.08s -> 7634.56s]  Did you ask what was being done in relation to the evidence that the post office was concerned
[7634.56s -> 7641.28s]  about? I'm sorry, ask the question again? Did you ask what the post office was doing
[7642.48s -> 7650.16s]  as a result of its concern that he had failed to mention in cases? Knowledge of bugs?
[7650.16s -> 7657.48s]  I was told that we were going back looking or that Cartwright King were going back looking
[7657.48s -> 7658.48s]  at cases.
[7658.48s -> 7659.96s]  So, I don't think that...
[7659.96s -> 7664.44s]  Why were they doing that if it was a red herring?
[7664.44s -> 7669.20s]  I understood because that was the obligation that one had to do, was that any case that
[7669.20s -> 7676.72s]  he had given evidence in needed to be given this evidence around these two bugs, even
[7676.72s -> 7680.00s]  if it didn't affect those cases.
[7680.00s -> 7689.48s]  you told that he was an unsafe witness? No. Can we jump forwards please to October of
[7689.48s -> 7708.42s]  this year, October 2013, and look at poll 0038-2001. At the foot of page one please.
[7708.42s -> 7713.42s]  an email from you to Alice Perkins, signing out.
[7715.50s -> 7717.42s]  Hi Alice, don't worry about the lateness of the note,
[7717.42s -> 7720.10s]  I'm clearing the tray before I'm signing out.
[7721.94s -> 7725.82s]  Couple of updates, Sir Anthony Hooper Sparrow,
[7725.82s -> 7728.46s]  very positive phone call on Friday PM,
[7728.46s -> 7730.02s]  no issue at all, Ree Hillsborough,
[7730.02s -> 7731.62s]  he's going to send a file note.
[7732.48s -> 7735.06s]  And then my concern, Ree Sparrow,
[7735.06s -> 7737.58s]  is currently our obligations of disclosure,
[7737.58s -> 7747.50s]  an unsafe witness. The representative from Fujitsu made statements about no bugs, which
[7747.50s -> 7752.66s]  later could be seen to have been undermined by the second site report. We don't think
[7752.66s -> 7760.62s]  it is material, but it could be high profile. Is the unsafe witness that you're referring
[7760.62s -> 7768.62s]  to there the same person that Lesley Sewell and Susan Crichton had referred to earlier?
[7768.62s -> 7769.62s]  Yes.
[7769.62s -> 7770.62s]  Yes.
[7770.62s -> 7771.62s]  Yeah.
[7771.62s -> 7775.74s]  Had they described him as an unsafe witness?
[7775.74s -> 7783.46s]  I don't know where, I only saw this disclosure recently, so I haven't had a chance to go
[7783.46s -> 7792.46s]  go back and see whether I, an unsafe witness is not a term that I would have used. So,
[7792.46s -> 7793.46s]  and the other thing.
[7793.46s -> 7794.46s]  You did use it.
[7794.46s -> 7802.62s]  Yes, sorry. The work, the adjective unsafe is not something in relation to the word witness.
[7802.62s -> 7808.34s]  It's quite a specific description. And I'm not sure that that's something that I would
[7808.34s -> 7817.18s]  have just used coincidentally and when I looked at this email this is some
[7817.18s -> 7826.70s]  considerable time so this is three months after I found out about Mr.
[7826.70s -> 7834.14s]  Jenkins being stood down so I don't know whether at this stage I had been given
[7834.14s -> 7838.02s]  more information about him or not.
[7838.02s -> 7846.34s]  It's six days after Mr Altman did his general review, a document which I think you say you
[7846.34s -> 7849.66s]  weren't told about and didn't see.
[7849.66s -> 7850.66s]  No.
[7850.66s -> 7852.98s]  Does he use the term?
[7852.98s -> 7861.26s]  Not precisely, but in any event, you understood that there was an issue by the date of this
[7861.26s -> 7868.34s]  email concerning disclosure that related to an unsafe witness, correct?
[7868.34s -> 7869.70s]  Yes.
[7869.70s -> 7877.32s]  And that related to him making statements about there not being bugs in Horizon?
[7877.32s -> 7880.08s]  That was my understanding.
[7880.08s -> 7886.72s]  So you understood by this time that there was an issue about the reliability of the
[7886.72s -> 7897.60s]  Fujitsu expert evidence about there being bugs, i.e. the absence of them, and not merely
[7897.60s -> 7906.88s]  about the presence of bugs that have been revealed by the second site report.
[7906.88s -> 7908.32s]  That's what it says here.
[7908.32s -> 7909.32s]  Yes.
[7909.32s -> 7919.40s]  say, we do not think it is material or it's material, but could be high profile. If the
[7919.40s -> 7931.00s]  issue of the expert evidence in criminal cases was not material, why would it be high profile?
[7931.00s -> 7938.70s]  I suspect this is the media aspect again, which is the worry that something that could
[7938.70s -> 7945.22s]  be taken out of context. I'm not entirely sure because I don't, whether I was given
[7945.22s -> 7951.70s]  this information very quickly, because I'm clearly going somewhere and Martin Edwards
[7951.70s -> 7957.82s]  is briefed to give Alice more detail. I just have no record of this at all.
[7957.82s -> 7963.54s]  Who's the we in that sentence? I can only imagine that this has come from,
[7963.54s -> 7968.02s]  Well, it wouldn't, yes, possibly Susan Crichton, the legal team.
[7969.22s -> 7980.02s]  Where is it recorded that what it was alleged that Mr. Jenkins had failed to do or had done
[7980.74s -> 7981.94s]  was not material?
[7981.94s -> 7994.94s]  I don't know. I would not have personally been able to make that statement without getting
[7994.94s -> 8001.98s]  it from someone who knew. I didn't understand about, as I now do, about the nature of an
[8001.98s -> 8003.78s]  expert witness.
[8003.78s -> 8011.80s]  There existed at this time the Simon Clarke advice of the 15th of July 2013, which addressed
[8011.80s -> 8015.68s]  page upon page, this very issue, the materiality.
[8015.68s -> 8018.24s]  I'm sorry, I think I've just remembered.
[8018.24s -> 8020.52s]  I'm sorry, I didn't mean to cut across you.
[8020.52s -> 8027.76s]  You go ahead.
[8027.76s -> 8037.48s]  The – I think Cartwright King had said that – because they had obviously by this stage
[8037.48s -> 8047.44s]  done a number of checks across, I suppose, master cases. And I think they had said that
[8047.44s -> 8054.80s]  the disclosures were a fairly small number, and that may be what this is relating to.
[8054.80s -> 8059.60s]  So material means not many?
[8059.60s -> 8063.52s]  It could be that, yes.
[8063.52s -> 8068.28s]  As I was saying, there existed at this time the Simon Clarke review of the 15th of July
[8068.28s -> 8079.12s]  2013 on this very issue, the materiality of what Gareth Jenkins had said in witness statements
[8079.12s -> 8086.40s]  and to a court in oral evidence, but you hadn't been given it.
[8086.40s -> 8087.40s]  No.
[8087.40s -> 8088.40s]  No.
[8088.40s -> 8097.40s]  Did you even know that external lawyers had been instructed to advise on the very issue that you're debating?
[8097.40s -> 8106.40s]  Do you mean in the sense of the Cartwright King review?
[8106.40s -> 8113.40s]  No, the materiality of what Mr Jenkins had said or had failed to say.
[8113.40s -> 8117.80s]  I don't think so.
[8122.20s -> 8128.28s]  Do you know where you got the idea that we do not think it, i.e.
[8130.44s -> 8136.28s]  the expert witness making statements about there being no bugs in Horizon from?
[8136.28s -> 8152.08s]  I am sure there is something in the documentation about numbers of cases.
[8152.08s -> 8156.12s]  I was not personally involved in any of this at all.
[8156.12s -> 8160.88s]  I wasn't working with the external lawyers during the review, so I couldn't have known
[8160.88s -> 8164.52s]  what they did or didn't think.
[8164.52s -> 8170.24s]  And therefore, it can only have come through the legal team.
[8170.24s -> 8171.24s]  Or possibly Martin.
[8171.24s -> 8175.52s]  I mean, it is possible that Martin was briefed by, but again, he would have had it through
[8175.52s -> 8179.84s]  the legal team.
[8179.84s -> 8185.56s]  Isn't the material comment here another reference back to the supposed red herring, rather than
[8185.56s -> 8189.80s]  about numbers?
[8189.80s -> 8191.96s]  I don't think so.
[8191.96s -> 8196.20s]  Why not?
[8196.20s -> 8207.16s]  Well only in the context that, no, that isn't what I understood.
[8207.16s -> 8212.64s]  And there is certainly something in documentation somewhere that makes the statement that the
[8212.64s -> 8222.16s]  lawyers, Cartwright King, did not think that there would be a large number of
[8222.16s -> 8226.24s]  cases where the disclosure needed to be made.
[8226.80s -> 8233.36s]  Can we go back then to mid-July 2013 but probably after the break?
[8233.36s -> 8237.76s]  So can we say half past, please?
[8237.76s -> 8238.76s]  Yep, certainly.
[8261.60s -> 8262.72s]  Thank you, Ms. Benals.
[8262.72s -> 8279.16s]  Can we pick up in mid-July 2013, please, by looking at poll 0010-0702?
[8279.16s -> 8285.48s]  This is a letter from the CCRC directly to you of the 12th of July 2013.
[8285.48s -> 8287.28s]  If we just look at it.
[8287.28s -> 8288.68s]  Horizon Computer System.
[8288.68s -> 8291.36s]  The CCRC is an independent body.
[8291.36s -> 8296.52s]  Our purpose is to review possible miscarriages of justice in the criminal courts of England,
[8296.52s -> 8301.70s]  Wales, and Northern Ireland, and refer appropriate cases to the appeal court.
[8301.70s -> 8306.08s]  For obvious reasons, we've read the recent media coverage concerning the Post Office
[8306.08s -> 8309.56s]  Horizon computer system with interest.
[8309.56s -> 8313.14s]  Clearly it would be very useful for us to have more information directly from the Post
[8313.14s -> 8318.72s]  Office, especially accurate information as to the number of criminal convictions that
[8318.72s -> 8324.80s]  might be impacted by the issue and what action is proposed or being taken in that respect,
[8324.80s -> 8329.48s]  we see that the AG was called upon on Tuesday to set up an inquiry.
[8329.48s -> 8332.44s]  We're in contact with his office about that.
[8332.44s -> 8336.80s]  In essence, the commission's role in this is likely to relate to anyone who is convicted
[8336.80s -> 8340.76s]  of a criminal offense in England, Wales, or Northern Ireland, where evidence from the
[8340.76s -> 8345.88s]  Horizon computer system is relevant, where one, they've already tried to appeal against
[8345.88s -> 8351.48s]  that conviction, or two, they were convicted at a magistrate's court following a guilty
[8351.48s -> 8360.60s]  plea. I look forward to receiving your reply. This must have been a very unwelcome development.
[8360.60s -> 8369.18s]  I remember receiving the letter from the CCRC. I don't remember personally regarding it as
[8369.18s -> 8371.24s]  unwelcome.
[8371.24s -> 8377.88s]  It arrived at a time at which you would have been told, is this right, by Susan Crichton
[8377.88s -> 8383.00s]  about the need to review past convictions?
[8383.00s -> 8384.44s]  I would think so, yes.
[8384.44s -> 8390.44s]  And it would have arrived at a time when you'd been told by Susan Crichton and Leslie Sewell
[8390.44s -> 8396.60s]  about the concern about the Fujitsu expert witnesses' evidence to the courts, including
[8396.60s -> 8398.12s]  in the Seema Misra case?
[8398.12s -> 8399.12s]  Yes.
[8399.12s -> 8405.52s]  A letter like this does not land on the doorstep of the CEO every day of the week, does it?
[8405.52s -> 8407.32s]  No.
[8407.32s -> 8414.20s]  Would you agree that the right and honest thing to do would have been to let the CCRC
[8414.20s -> 8427.88s]  know about the post office's concerns over Gareth Jenkins?
[8427.88s -> 8435.72s]  I, what I did with this letter was to ask Susan to reply
[8435.72s -> 8441.04s]  as the legal expert in the organization.
[8441.04s -> 8447.64s]  I don't believe that I would have given her direction
[8447.64s -> 8450.72s]  as to how we should reply to it.
[8450.72s -> 8455.20s]  And for clarity, I wouldn't have either instructed her
[8455.20s -> 8457.16s]  to leave things out.
[8457.16s -> 8463.36s]  The right and honest thing for the post office to have done would be to have let the CCRC
[8463.36s -> 8472.36s]  know and know promptly over its concerns about the truthfulness and reliability of the evidence
[8472.36s -> 8475.64s]  that Gareth Jenkins had given to cause, wouldn't it?
[8475.64s -> 8478.08s]  Yes, it would.
[8478.08s -> 8481.04s]  That didn't happen for years and years, did it?
[8481.04s -> 8489.28s]  I understand that to be the case now, yes.
[8489.28s -> 8495.08s]  Given what was on your mind, what you'd said to Alice Perkins a couple of days before this
[8495.08s -> 8510.48s]  in the email that we saw, did you think we need to say to the CCRC what we know about
[8510.48s -> 8519.68s]  Gareth Jenkins? I don't think we're looking at the same time scale. The email that I sent
[8519.68s -> 8527.92s]  to Alice Perkins was in October. This is July. I'm talking about the, I'm sorry, the exchange
[8527.92s -> 8535.32s]  with Lesley Sewell and Mark Davis. My mistake. I'm sorry, so what was the question? Yes.
[8535.32s -> 8543.44s]  In the light of the exchanges you had with Mark Davis and Leslie Sewell about the extent
[8543.44s -> 8552.00s]  to which we have to go back and look at past previous convictions, up to 500 of them for
[8552.00s -> 8558.16s]  false accounting, do you think the, and the conversations that you'd had with Leslie Sewell
[8558.16s -> 8563.96s]  and Susan Crichton about the person you now know to be Gareth Jenkins, do you think the
[8563.96s -> 8572.88s]  right thing to have said in response to the CCRC, but was we have got concerns about a
[8572.88s -> 8577.20s]  key witness in a number of our cases?
[8577.20s -> 8589.16s]  Yes. Assume, yes, I sound slightly hesitant because I wouldn't have known what we, my,
[8589.16s -> 8598.08s]  My understanding and expectation is that when the post office receives something like this
[8598.08s -> 8606.84s]  from the CCRC, that it should respond in the fullest way possible to be transparent about
[8606.84s -> 8614.12s]  whatever it was that needed to be shared with the CCRC.
[8614.12s -> 8619.96s]  Can we turn forwards, please, to poll 00, in fact, it's a couple of days before this,
[8619.96s -> 8629.52s]  poll 00407582.
[8629.52s -> 8632.92s]  This is an attendance note of the 10th of July.
[8632.92s -> 8636.28s]  You're not present.
[8636.28s -> 8646.80s]  It seems to be between Susan Crichton, Hugh Flemington, and Simon Richardson.
[8646.80s -> 8649.32s]  Can you recall who Simon Richardson was?
