sentence_index,entity_raw,entity_normalised,category,sentence_text
872,shortfalls,shortfall,Event/Issue,"And you conclude that the final part of paragraph 5, in relation to subpostmasters, the removal of the suspense account at that time, leaving many of them with no realistic alternative which faced— when faced with shortfalls that they could neither understand nor make good, but to falsify branch books in order to buy time."
875,shortfall,shortfall,Event/Issue,"So if you had a subpostmaster on £18,000 a year and you tried to post a shortfall of £19,000 a year, it wasn't going to work."
880,shortfalls,shortfall,Event/Issue,And that meant that all the big shortfalls that we were seeing— You It mean the just couldn't be parked anywhere.
881,shortfall,shortfall,Event/Issue,It had to be dealt with immediately on the final— on the day that that shortfall manifested itself in the books.
886,suspense account,suspense account,Event/Issue,"An incoming TC, a credit TC in that case, will sort out your problem, but never the promise as to how long it would take for that to zero out the amount that was in the suspense account."
890,shortfall,shortfall,Event/Issue,There was a person who understood point-of-sale systems and there he found himself looking at this 8-centimetre-wide piece of paper that was across the room to try and find the reason for a shortfall.
892,shortfall,shortfall,Event/Issue,"If you're looking at a whole month's transactions to try and find out why you've got a shortfall of £19,000 or whatever."
897,shortfall,shortfall,Event/Issue,"He said, is it possible that a shortfall in one branch could be accounted for by a surplus in another?"
937,shortfall,shortfall,Event/Issue,"If a shortfall, whether ATM-related or else, occurs in a bank branch of Lloyds Bank and it's £12,000, it's immaterial in their books, and it's actually immaterial in the branch's books because nobody's being expected to pay it out of their own pocket."
941,audit,audit,Event/Issue,"Well, it would have if I'd been doing the audit, yes."
961,error,error,Event/Issue,"In other words, to the date of your evidence given before— being given now before this inquiry, have you had a resolution to these issues in relation to the suspense accounts, what's happened to the money paid into balance shortfalls that may have been due to a Horizon system error?"
961,shortfalls,shortfall,Event/Issue,"In other words, to the date of your evidence given before— being given now before this inquiry, have you had a resolution to these issues in relation to the suspense accounts, what's happened to the money paid into balance shortfalls that may have been due to a Horizon system error?"
1006,audit,audit,Event/Issue,"Yes, this is the sort of wording, this is the page that you put in when you're going to do what I think has also been described as a desk-based audit, that says we're just going to ask some questions and we're going to believe everything we're told."
1032,shortfall,shortfall,Event/Issue,"But if you're— if you're As in Joe's case, if you have a £2,000 shortfall that in a moment in time becomes a £4,000 shortfall, that extra £2,000 has got to come from somewhere and go to somewhere."
1035,shortfall,shortfall,Event/Issue,"And when Joe pressed that button and the and her shortfall doubled, and she's not the only person that asserted that."
1053,mediation scheme,mediation scheme,Event/Issue,"Some of the senior executives, and I believe Ms Perkins in particular as Chair, were asked the question, or the suggestion was put to them, I think is a better way of putting it, that the mediation scheme was a scam."
1055,mediation scheme,mediation scheme,Event/Issue,"And they denied that and in effect told me that so far as they were concerned, the mediation scheme was a scheme which was operated by all concerned in good faith."
1070,mediation scheme,mediation scheme,Event/Issue,"So is the answer to my question that for much of the time during which you were involved in the mediation scheme, you did think that it was being operated in good faith, but there came a point in time when you began to doubt that?"
1088,mediation scheme,mediation scheme,Event/Issue,"I mean, he'd made it completely clear that people with convictions of any sort should be entitled to benefit from the mediation scheme."
1089,mediation scheme,mediation scheme,Event/Issue,"But the corruption of the mediation scheme, this expectation gap, the first point that you asked, sir, when we started to see the CQRs, the case questionnaire responses, the work done by the professional advisers, including Howe Co and others, when we started to see those coming in with pretty big numbers attached, it didn't surprise Mr Henderson and myself at all."
